R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
117;Hutchinson Andrew;EV Zug;Verteidiger;33;22;11;0;0;0;0
118;Hirschi Steve;HC Lugano;Verteidiger;40;22;11;0;0;0;0
119;Hasani Adam;Fribourg-Gottéron;Stürmer;40;22;11;0;0;0;0
120;Guerra Samuel;HC Davos;Verteidiger;33;22;11;0;0;0;0
121;Gerber Roland;Genève-Servette HC;Stürmer;50;22;11;0;0;0;0
122;El Assaoui Sami;HC Ambri-Piotta;Verteidiger;46;22;11;0;0;0;0
123;Daugavins Kaspars;Genève-Servette HC;Stürmer;44;22;6;0;1;0;0
124;Christen Björn;EV Zug;Stürmer;50;22;11;0;0;0;0
125;Chavaillaz Benjamin;HC Ambri-Piotta;Verteidiger;48;22;6;0;1;0;0
126;Bärtschi Patrik;ZSC Lions;Stürmer;44;22;6;0;1;0;0
127;Antonietti Eliot;Genève-Servette HC;Verteidiger;46;22;11;0;0;0;0
128;Antonietti Benjamin;Lausanne HC;Stürmer;50;22;6;0;1;0;0
129;Thibaudeau Nicolas;SC Rapperswil-Jona Lakers;Stürmer;20;20;5;0;1;0;0
130;Stalder Ralph;Lausanne HC;Verteidiger;44;20;10;0;0;0;0
131;Ryser Sven;HC Davos;Stürmer;50;20;10;0;0;0;0
132;Peter Emanuel;EHC Biel;Stürmer;50;20;10;0;0;0;0
133;Loichat Michaël;SC Bern;Stürmer;40;20;10;0;0;0;0
134;Latendresse Guillaume;ZSC Lions;Stürmer;12;20;5;0;1;0;0
135;Cadonau Claudio;EHC Biel;Verteidiger;46;20;10;0;0;0;0
136;Walser Samuel;HC Davos;Stürmer;50;18;9;0;0;0;0
137;Vauclair Julien;HC Lugano;Verteidiger;31;18;9;0;0;0;0
138;Trutmann Dario;EHC Biel;Verteidiger;48;18;9;0;0;0;0
139;Stoop Lukas;Kloten Flyers;Verteidiger;47;18;9;0;0;0;0
140;Stewart Anthony;SC Rapperswil-Jona Lakers;Stürmer;15;18;4;0;1;0;0
141;Steiner Daniel;HC Ambri-Piotta;Stürmer;50;18;9;0;0;0;0
142;Seydoux Philippe;Lausanne HC;Verteidiger;25;18;9;0;0;0;0
143;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;48;18;9;0;0;0;0
144;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;47;18;9;0;0;0;0
145;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;33;18;9;0;0;0;0
146;Mauldin Greg;Fribourg-Gottéron;Stürmer;43;18;9;0;0;0;0
147;Lardi Federico;Lausanne HC;Verteidiger;50;18;9;0;0;0;0
148;Keller Ryan;ZSC Lions;Stürmer;37;18;9;0;0;0;0
149;Jobin David;SC Bern;Verteidiger;35;18;9;0;0;0;0
150;Grassi Daniele;HC Ambri-Piotta;Stürmer;48;18;9;0;0;0;0
151;Fey Kevin;EHC Biel;Verteidiger;38;18;9;0;0;0;0
152;Duca Paolo;HC Ambri-Piotta;Stürmer;49;18;9;0;0;0;0
153;Bürgler Dario;HC Davos;Stürmer;50;18;4;0;1;0;0
154;Berthon Eliot;Genève-Servette HC;Stürmer;46;18;9;0;0;0;0
155;Baltisberger Chris;ZSC Lions;Stürmer;48;18;9;0;0;0;0
156;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;16;8;0;0;0;0
157;Vermin Joël;SC Bern;Stürmer;49;16;8;0;0;0;0
158;Ulmer Martin;EHC Biel;Stürmer;37;16;3;0;1;0;0
159;Trachsler Morris;ZSC Lions;Stürmer;39;16;8;0;0;0;0
160;Sieber Lukas;HC Davos;Stürmer;35;16;8;0;0;0;0
161;Schlumpf Dominik;HC Lugano;Verteidiger;47;16;8;0;0;0;0
162;Schäppi Reto;ZSC Lions;Stürmer;49;16;8;0;0;0;0
163;Savary Paul;Lausanne HC;Stürmer;42;16;3;0;1;0;0
164;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;45;16;8;0;0;0;0
165;Mottet Killian;Fribourg-Gottéron;Stürmer;49;16;8;0;0;0;0
166;Lindgren Perttu;HC Davos;Stürmer;48;16;8;0;0;0;0
167;Lemm Romano;Kloten Flyers;Stürmer;50;16;8;0;0;0;0
168;Kreis Samuel;SC Bern;Verteidiger;38;16;8;0;0;0;0
169;Kostner Diego;HC Lugano;Stürmer;41;16;8;0;0;0;0
170;Herburger Raphael;EHC Biel;Stürmer;45;16;8;0;0;0;0
171;Hänni Andreas;EHC Biel;Verteidiger;30;16;8;0;0;0;0
172;Grieder Marc;HC Ambri-Piotta;Verteidiger;42;16;8;0;0;0;0
173;Gerber Beat;SC Bern;Verteidiger;36;16;8;0;0;0;0
174;Fischer Jannik;Lausanne HC;Verteidiger;50;16;8;0;0;0;0
175;Erni Samuel;EV Zug;Verteidiger;27;16;8;0;0;0;0
176;Bühler Cyrill;Kloten Flyers;Stürmer;34;16;8;0;0;0;0
177;Beaudoin Eric;EHC Biel;Stürmer;24;16;8;0;0;0;0
178;Wetzel Philipp;EHC Biel;Stürmer;38;14;7;0;0;0;0
179;Weisskopf Dan;SC Rapperswil-Jona Lakers;Verteidiger;26;14;7;0;0;0;0
180;Walsky Eric;HC Lugano;Stürmer;39;14;7;0;0;0;0
181;Sciaroni Gregory;HC Davos;Stürmer;19;14;7;0;0;0;0
182;Romy Kevin;Genève-Servette HC;Stürmer;49;14;7;0;0;0;0
183;Randegger Gian-Andrea;Kloten Flyers;Verteidiger;48;14;7;0;0;0;0
184;Metropolit Glen;SC Bern;Stürmer;43;14;7;0;0;0;0
185;Lüthi Valentin;SC Rapperswil-Jona Lakers;Verteidiger;36;14;7;0;0;0;0
186;Lehtonen Mikko;HC Lugano;Stürmer;35;14;7;0;0;0;0
187;Lauper Adrien;Fribourg-Gottéron;Stürmer;41;14;7;0;0;0;0
188;Kparghai Clarence;HC Lugano;Verteidiger;39;14;7;0;0;0;0
189;Hoffmann Luka;Kloten Flyers;Stürmer;34;14;2;0;1;0;0
190;Gmür Sandro;SC Rapperswil-Jona Lakers;Verteidiger;50;14;7;0;0;0;0
191;Gautschi Marc;HC Ambri-Piotta;Verteidiger;42;14;7;0;0;0;0
192;Furrer Philippe;SC Bern;Verteidiger;16;14;7;0;0;0;0
193;Froidevaux Etienne;Lausanne HC;Stürmer;49;14;7;0;0;0;0
194;Fischer Simon;Lausanne HC;Stürmer;46;14;7;0;0;0;0
195;Deruns Thomas;Lausanne HC;Stürmer;50;14;7;0;0;0;0
196;Corvi Enzo;HC Davos;Stürmer;48;14;7;0;0;0;0
197;Bourque Chris;EHC Biel;Stürmer;21;14;7;0;0;0;0
198;Bianchi Elias;HC Ambri-Piotta;Stürmer;50;14;7;0;0;0;0
199;Back Rene;HC Davos;Verteidiger;39;14;7;0;0;0;0
200;Williams Jason;HC Ambri-Piotta;Stürmer;32;12;6;0;0;0;0
201;Wellinger Thomas;SC Bern;Verteidiger;31;12;6;0;0;0;0
202;Stoffel Andri;ZSC Lions;Verteidiger;49;12;6;0;0;0;0
203;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;44;12;6;0;0;0;0
204;Olesz Rostislav;SC Bern;Stürmer;23;12;6;0;0;0;0
