Team,Year,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
GCK Lions,1011,133,211,4.69,42,0.93,80.09,19462,432,5,0.11,2.96,180,4.0,99,2.2,128,2.84,29,0.64,8,0.18,0,2,255,3,11,2,2,715,213,4.73,13.62,20324,451,1
GCK Lions,1112,122,205,4.56,38,0.84,81.46,18685,415,5,0.11,2.71,134,2.98,89,1.98,91,2.02,28,0.62,4,0.09,0,1,234,2,10,1,1,618,208,4.62,13.46,20255,450,1
GCK Lions,1213,155,213,4.26,49,0.98,77.0,20414,408,4,0.08,3.1,173,3.46,116,2.32,117,2.34,35,0.7,5,0.1,0,2,254,4,11,3,1,718,218,4.36,16.06,20273,405,1
GCK Lions,1314,113,134,2.98,26,0.58,80.6,12953,287,7,0.16,2.51,148,3.29,79,1.76,107,2.38,24,0.53,10,0.22,3,5,140,1,8,2,0,405,178,3.96,13.48,17897,397,1
GCK Lions,1415,124,150,3.12,38,0.79,74.67,13941,290,1,0.02,2.58,169,3.52,92,1.92,121,2.52,27,0.56,7,0.15,4,3,179,0,0,0,0,358,191,3.98,14.14,18582,387,1
GCK Lions,1516,107,154,3.42,42,0.93,72.73,14060,312,1,0.02,2.38,183,4.07,84,1.87,130,2.89,24,0.53,8,0.18,2,1,172,0,0,1,0,364,181,4.02,13.26,18364,408,1
Genève-Servette HC,0809,157,297,5.94,42,0.84,85.86,28077,561,5,0.1,3.14,140,2.8,110,2.2,91,1.82,42,0.84,7,0.14,0,0,336,5,18,4,2,997,298,5.96,14.09,28226,564,1
Genève-Servette HC,0910,166,250,5.0,33,0.66,86.8,23133,462,11,0.22,3.32,113,2.26,111,2.22,74,1.48,40,0.8,4,0.08,4,2,302,5,15,5,1,899,250,5.0,16.0,22917,458,1
Genève-Servette HC,1011,129,208,4.16,33,0.66,84.13,19184,383,5,0.1,2.58,128,2.56,93,1.86,85,1.7,30,0.6,5,0.1,1,5,239,1,10,5,0,683,216,4.32,13.89,20697,413,1
Genève-Servette HC,1112,117,186,3.72,22,0.44,88.17,18994,379,6,0.12,2.34,126,2.52,80,1.6,89,1.78,27,0.54,7,0.14,4,8,220,4,8,5,0,640,209,4.18,12.92,20958,419,1
Genève-Servette HC,1213,146,249,4.98,34,0.68,86.35,24147,482,11,0.22,2.92,139,2.78,106,2.12,100,2.0,28,0.56,4,0.08,1,1,284,1,15,1,1,763,218,4.36,12.84,21283,425,1
Genève-Servette HC,1314,158,210,4.2,34,0.68,83.81,20587,411,8,0.16,3.16,133,2.66,111,2.22,92,1.84,34,0.68,6,0.12,5,1,237,13,12,12,1,919,200,4.0,17.0,18713,374,1
Genève-Servette HC,1415,154,178,3.56,30,0.6,83.15,17517,350,9,0.18,3.08,154,3.08,109,2.18,108,2.16,33,0.66,10,0.2,3,6,212,2,4,2,0,514,164,3.28,20.12,15971,319,1
Genève-Servette HC,1516,160,207,4.14,35,0.7,83.09,19219,384,6,0.12,3.2,138,2.76,107,2.14,97,1.94,44,0.88,5,0.1,3,1,229,4,5,6,0,648,175,3.5,25.14,16662,333,1
HC Ajoie,0910,157,264,5.87,43,0.96,83.71,23751,527,6,0.13,3.49,149,3.31,101,2.24,96,2.13,54,1.20,9,0.20,2,1,321,3,11,3,1,847,258,5.73,20.93,22722,504,1
HC Ajoie,1011,141,252,5.6,48,1.07,80.95,22831,507,4,0.09,3.13,149,3.31,81,1.8,87,1.93,53,1.18,9,0.2,3,5,307,5,21,5,1,969,246,5.47,21.54,25232,560,1
HC Ajoie,1112,119,236,5.24,42,0.93,82.2,21753,483,1,0.02,2.64,154,3.42,73,1.62,102,2.27,43,0.96,8,0.18,2,2,269,2,17,3,1,798,218,4.84,19.72,19969,443,1
HC Ajoie,1213,187,261,5.22,45,0.9,82.76,23448,468,9,0.18,3.74,138,2.76,126,2.52,89,1.78,48,0.96,3,0.06,4,1,298,2,16,4,0,846,260,5.2,18.46,23426,468,1
HC Ajoie,1314,123,211,4.69,43,0.96,79.62,19126,425,5,0.11,2.73,156,3.47,77,1.71,105,2.33,40,0.89,5,0.11,1,3,224,3,13,1,2,653,212,4.71,18.87,19677,437,1
HC Ajoie,1415,137,215,4.48,43,0.9,80.0,19527,406,6,0.12,2.85,152,3.17,99,2.06,96,2.0,31,0.65,7,0.15,1,6,247,0,6,0,0,554,205,4.27,15.12,19727,410,1
HC Ajoie,1516,171,156,3.47,24,0.53,84.62,15000,333,9,0.2,3.8,131,2.91,116,2.58,105,2.33,45,1.0,1,0.02,1,1,188,0,3,1,0,426,197,4.38,22.84,19245,427,1
HC Ambri-Piotta,0809,129,266,5.32,56,1.12,78.95,23820,476,5,0.1,2.58,190,3.8,83,1.66,124,2.48,41,0.82,10,0.2,0,0,292,4,10,4,0,784,268,5.36,15.3,25656,513,1
HC Ambri-Piotta,0910,107,214,4.28,49,0.98,77.1,19626,392,3,0.06,2.14,187,3.74,71,1.42,126,2.52,31,0.62,9,0.18,2,3,250,0,11,0,0,610,217,4.34,14.29,21650,433,1
HC Ambri-Piotta,1011,99,157,3.14,37,0.74,76.43,15089,301,4,0.08,1.98,172,3.44,58,1.16,127,2.54,36,0.72,6,0.12,1,2,178,1,7,2,0,471,222,4.44,16.22,21950,439,1
HC Ambri-Piotta,1112,102,182,3.64,37,0.74,79.67,17394,347,2,0.04,2.04,153,3.06,64,1.28,106,2.12,34,0.68,5,0.1,2,5,210,2,8,2,1,570,226,4.52,15.04,22159,443,1
HC Ambri-Piotta,1213,128,195,3.9,38,0.76,80.51,18543,370,4,0.08,2.56,178,3.56,93,1.86,136,2.72,27,0.54,2,0.04,4,2,218,1,8,3,0,581,181,3.62,14.92,18272,365,1
HC Ambri-Piotta,1314,126,179,3.58,29,0.58,83.8,17302,346,5,0.1,2.52,123,2.46,82,1.64,86,1.72,36,0.72,5,0.1,3,3,201,1,4,2,0,487,219,4.38,16.44,21231,424,1
HC Ambri-Piotta,1415,124,196,3.92,37,0.74,81.12,18816,376,5,0.1,2.48,167,3.34,86,1.72,124,2.48,28,0.56,2,0.04,5,4,229,2,2,2,0,528,178,3.56,15.73,17952,359,1
HC Ambri-Piotta,1516,144,182,3.64,40,0.8,78.02,16711,334,4,0.08,2.88,166,3.32,111,2.22,116,2.32,28,0.56,6,0.12,1,4,196,5,3,5,0,547,175,3.5,16.0,16678,333,1
HC Davos,0809,184,298,5.96,43,0.86,85.57,28976,579,7,0.14,3.68,135,2.7,124,2.48,89,1.78,53,1.06,3,0.06,0,0,321,2,10,3,0,812,265,5.3,20.0,23909,478,1
HC Davos,0910,181,256,5.12,39,0.78,84.77,24540,490,10,0.2,3.62,124,2.48,125,2.5,82,1.64,43,0.86,1,0.02,3,2,296,4,16,5,1,892,230,4.6,18.7,20746,414,1
HC Davos,1011,179,247,4.94,28,0.56,88.66,24738,494,13,0.26,3.58,103,2.06,128,2.56,67,1.34,35,0.7,7,0.14,3,1,289,5,9,3,2,793,203,4.06,17.24,19801,396,1
HC Davos,1112,155,227,4.54,35,0.7,84.58,22331,446,11,0.22,3.1,117,2.34,112,2.24,78,1.56,29,0.58,1,0.02,3,3,254,4,7,3,2,698,182,3.64,15.93,17587,351,1
HC Davos,1213,170,240,4.8,36,0.72,85.0,24063,481,7,0.14,3.4,152,3.04,121,2.42,102,2.04,39,0.78,10,0.2,3,4,266,4,9,3,1,722,190,3.8,20.53,18553,371,1
HC Davos,1314,151,204,4.08,30,0.6,85.29,19713,394,7,0.14,3.02,133,2.66,108,2.16,99,1.98,31,0.62,3,0.06,5,1,223,1,10,1,0,571,173,3.46,17.92,16000,320,1
HC Davos,1415,164,206,4.12,30,0.6,85.44,19596,391,7,0.14,3.28,132,2.64,128,2.56,93,1.86,26,0.52,4,0.08,3,5,242,3,2,3,0,579,185,3.7,14.05,17914,358,1
HC Davos,1516,181,190,3.8,26,0.52,86.32,18500,370,10,0.2,3.62,142,2.84,135,2.7,112,2.24,33,0.66,3,0.06,3,1,217,4,10,7,0,694,176,3.52,18.75,17106,342,1
HC La Chaux-de-Fonds,0910,177,222,4.93,46,1.02,79.28,20630,458,15,0.33,3.93,166,3.69,111,2.47,107,2.38,58,1.29,9,0.20,0,4,249,1,7,1,0,593,260,5.78,22.31,23089,513,1
HC La Chaux-de-Fonds,1011,175,209,4.64,34,0.76,83.73,19140,425,8,0.18,3.89,139,3.09,119,2.64,91,2.02,45,1.0,11,0.24,3,3,242,0,7,0,0,554,226,5.02,19.91,20857,463,1
HC La Chaux-de-Fonds,1112,155,191,4.24,34,0.76,82.2,18215,404,11,0.24,3.44,127,2.82,93,2.07,82,1.82,49,1.09,7,0.16,2,4,218,3,7,3,0,581,223,4.96,21.97,19807,440,1
HC La Chaux-de-Fonds,1213,189,224,4.48,35,0.7,84.38,21095,421,19,0.38,3.78,147,2.94,125,2.5,102,2.04,43,0.86,5,0.1,2,5,259,4,9,2,1,688,232,4.64,18.53,21248,424,1
HC La Chaux-de-Fonds,1314,151,188,4.18,34,0.76,81.91,18543,412,4,0.09,3.36,149,3.31,105,2.33,106,2.36,38,0.84,6,0.13,4,3,216,1,8,1,0,537,186,4.13,20.43,17813,395,1
HC La Chaux-de-Fonds,1415,157,190,3.96,40,0.83,78.95,18779,391,10,0.21,3.27,148,3.08,114,2.38,95,1.98,32,0.67,8,0.17,1,5,212,1,2,0,1,469,203,4.23,15.76,20536,427,1
HC La Chaux-de-Fonds,1516,157,187,4.16,39,0.87,79.14,17213,382,6,0.13,3.49,125,2.78,116,2.58,77,1.71,33,0.73,7,0.16,2,2,199,5,2,4,1,543,178,3.96,18.54,17547,389,1
HC Lugano,0809,175,284,5.68,48,0.96,83.1,26795,535,6,0.12,3.5,156,3.12,101,2.02,100,2.0,68,1.36,8,0.16,0,0,327,5,13,4,1,909,270,5.4,25.19,23873,477,1
HC Lugano,0910,153,203,4.06,50,1.0,75.37,19542,390,3,0.06,3.06,166,3.32,103,2.06,105,2.1,44,0.88,7,0.14,3,4,234,5,16,7,1,813,212,4.24,20.75,20122,402,1
HC Lugano,1011,130,215,4.3,40,0.8,81.4,20110,402,5,0.1,2.6,159,3.18,86,1.72,112,2.24,36,0.72,5,0.1,3,2,249,1,8,2,0,623,188,3.76,19.15,18714,374,1
HC Lugano,1112,152,184,3.68,32,0.64,82.61,17532,350,9,0.18,3.04,150,3.0,93,1.86,109,2.18,45,0.9,6,0.12,5,3,206,1,4,1,0,477,207,4.14,21.74,19979,399,1
HC Lugano,1213,163,220,4.4,41,0.82,81.36,18769,375,4,0.08,3.26,139,2.78,113,2.26,89,1.78,44,0.88,7,0.14,2,2,231,1,8,1,0,567,230,4.6,19.13,21307,426,1
HC Lugano,1314,142,197,3.94,28,0.56,85.79,18989,379,5,0.1,2.84,114,2.28,93,1.86,82,1.64,41,0.82,3,0.06,3,1,235,3,9,5,0,675,230,4.6,17.83,21352,427,1
HC Lugano,1415,155,182,3.64,29,0.58,84.07,18114,362,2,0.04,3.1,127,2.54,102,2.04,92,1.84,45,0.9,4,0.08,6,2,229,4,5,5,0,628,236,4.72,19.07,22032,440,1
