R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
351;Maret Mathieu;Fribourg-Gottéron;Verteidiger;3;0;0;-;0.00
352;Knutti Luca;Fribourg-Gottéron;Stürmer;2;0;0;-;0.00
353;Jeyabalan Nando;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;-;0.00
354;Högger Fabio;Kloten Flyers;Stürmer;2;0;0;-;0.00
355;Girard Felix;Genève-Servette HC;Stürmer;4;0;0;-;0.00
356;Dupertuis Joey;Genève-Servette HC;Verteidiger;6;0;0;-;0.00
357;Devaja Dominik;Kloten Flyers;Stürmer;5;0;0;-;0.00
358;Chiriaev Evgenï;Fribourg-Gottéron;Stürmer;2;0;0;-;0.00
359;Büsser Xeno;ZSC Lions;Verteidiger;1;0;0;-;0.00
360;Botta Roman;Fribourg-Gottéron;Stürmer;2;0;0;-;0.00
361;Bonnet Julien;HC Ambri-Piotta;Verteidiger;2;0;0;-;0.00
362;Ahlström Philip;HC Lugano;Verteidiger;10;0;0;-;0.00
