R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
170;Schlumpf Dominik;EV Zug;Verteidiger;49;0;0;0;-;0
171;Schläpfer Sin;HC Davos;Stürmer;4;0;0;0;-;0
172;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;44;0;0;0;-;0
173;Scherwey Tristan;SC Bern;Stürmer;33;0;0;0;-;0
174;Schelling Philippe;Kloten Flyers;Verteidiger;50;0;0;0;-;0
175;Schäppi Reto;ZSC Lions;Stürmer;50;0;0;0;-;0
176;Savary Paul;Lausanne HC;Stürmer;43;0;0;0;-;0
177;Sartori Riccardo;HC Lugano;Verteidiger;43;0;0;0;-;0
178;Sannitz Raffaele;HC Lugano;Stürmer;39;0;0;0;-;0
179;Rytz Philippe;Lausanne HC;Verteidiger;17;0;0;0;-;0
180;Ryser Sven;Lausanne HC;Stürmer;44;0;0;0;-;0
181;Rundblad David;ZSC Lions;Verteidiger;11;0;0;0;-;0
182;Rubin Daniel;Genève-Servette HC;Stürmer;48;0;0;0;-;0
183;Rouiller Anthony;EHC Biel;Verteidiger;7;0;0;0;-;0
184;Rossi Matthias;EHC Biel;Stürmer;49;0;0;0;-;0
185;Ronchetti Massimo;SCL Tigers;Verteidiger;47;0;0;0;-;0
186;Romanenghi Matteo;HC Lugano;Stürmer;23;0;0;0;-;0
187;Roberts Lee;Lausanne HC;Stürmer;8;0;0;0;-;0
188;Rivera Christopher;Fribourg-Gottéron;Stürmer;44;0;0;0;-;0
189;Réway Martin;Fribourg-Gottéron;Stürmer;19;0;0;0;-;0
190;Reuille Sebastien;HC Lugano;Stürmer;46;0;0;0;-;0
191;Reichert Marc;SC Bern;Stürmer;47;0;0;0;-;0
192;Randegger Gian-Andrea;SC Bern;Verteidiger;42;0;0;0;-;0
193;Randegger Flurin;SC Bern;Verteidiger;48;0;0;0;-;0
194;Rampazzo Ruben;HC Davos;Verteidiger;13;0;0;0;-;0
195;Ramholt Tim;EV Zug;Verteidiger;50;0;0;0;-;0
196;Prassl Raphael;ZSC Lions;Stürmer;1;0;0;0;-;0
197;Pozzorini Samuele;HC Lugano;Verteidiger;1;0;0;0;-;0
198;Portmann Jerome;HC Davos;Stürmer;3;0;0;0;-;0
199;Plüss Benny;Fribourg-Gottéron;Stürmer;37;0;0;0;-;0
200;Pivron Pierrick;Fribourg-Gottéron;Stürmer;10;0;0;0;-;0
201;Pinana Christian;HC Ambri-Piotta;Verteidiger;5;0;0;0;-;0
202;Picard Alexandre;HC Davos;Stürmer;13;0;0;0;-;0
203;Picard Alexandre;Fribourg-Gottéron;Verteidiger;37;0;0;0;-;0
