R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
256;Diem Nolan;EV Zug;Stürmer;16;1;3;3;0;0;1;1;0;2;0;0
257;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;43;1;3;3;0;1;1;2;0;1;0;0
258;Salmelainen Tony;Genève-Servette HC;Stürmer;7;1;3;2;1;0;0;2;0;1;1;0
259;Lindemann Kim;SCL Tigers;Verteidiger;41;1;3;2;1;1;1;3;0;0;0;0
260;Brunner Adrian;SCL Tigers;Stürmer;26;1;3;2;1;0;1;2;0;1;0;0
261;Lehtonen Mikko;ZSC Lions;Stürmer;6;1;3;1;2;0;1;2;0;1;0;0
262;Du Bois Felicien;Kloten Flyers;Verteidiger;26;1;3;0;3;0;0;2;1;1;0;0
263;Sushinsky Maxim;Fribourg-Gottéron;Stürmer;3;1;2;2;0;0;1;2;0;0;0;0
264;Lauper Adrien;Fribourg-Gottéron;Stürmer;44;1;2;2;0;0;1;2;0;0;0;0
265;Friedli Samuel;Genève-Servette HC;Stürmer;47;1;2;2;0;0;1;1;0;0;0;1
266;Deruns Thomas;SC Bern;Stürmer;26;1;2;2;0;0;1;2;0;0;0;0
267;Bühler Cyrill;ZSC Lions;Stürmer;39;1;2;2;0;0;1;2;0;0;0;0
268;Frick Lukas;Kloten Flyers;Verteidiger;21;1;2;1;1;0;1;2;0;0;0;0
269;Cadieux Jan;Fribourg-Gottéron;Stürmer;49;1;2;1;1;0;1;2;0;0;0;0
270;Kienzle Lorenz;HC Lugano;Verteidiger;40;1;2;0;2;0;1;2;0;0;0;0
271;Gloor Kevin;EHC Biel;Verteidiger;38;1;2;0;2;0;1;2;0;0;0;0
272;Berger Nils;SC Rapperswil-Jona Lakers;Stürmer;38;1;2;0;2;0;1;2;0;0;0;0
273;Neher Lars;Kloten Flyers;Stürmer;39;1;1;1;0;1;1;1;0;0;0;0
274;Moser Christian;SCL Tigers;Verteidiger;47;1;1;1;0;0;1;1;0;0;0;0
275;Leone Robin;Kloten Flyers;Stürmer;30;1;1;1;0;0;1;1;0;0;0;0
276;Ehlers Nikolaj;EHC Biel;Stürmer;11;1;1;1;0;0;1;1;0;0;0;0
277;Dal Pian Giacomo;HC Lugano;Stürmer;7;1;1;1;0;0;1;1;0;0;0;0
278;Camichel Corsin;HC Davos;Stürmer;15;1;1;1;0;0;1;1;0;0;0;0
279;Schäublin Olivier;Fribourg-Gottéron;Verteidiger;5;1;1;0;1;0;1;1;0;0;0;0
280;Casserini Giacomo;HC Ambri-Piotta;Verteidiger;23;1;1;0;1;0;1;1;0;0;0;0
281;Bonnet Julien;HC Ambri-Piotta;Verteidiger;36;1;1;0;1;0;1;1;0;0;0;0
282;Sutter Sebastian;EHC Biel;Stürmer;21;1;0;0;0;0;1;0;0;0;0;0
283;Pacioretty Max;HC Ambri-Piotta;Stürmer;5;1;0;0;0;0;1;0;0;0;0;0
284;Merola Melvin;Fribourg-Gottéron;Stürmer;31;1;0;0;0;0;1;0;0;0;0;0
285;Hächler Cedric;ZSC Lions;Verteidiger;4;1;0;0;0;0;0;0;1;0;0;0
286;Camperchioli Luca;SC Rapperswil-Jona Lakers;Verteidiger;20;1;0;0;0;0;1;0;0;0;0;0
287;Furrer Philippe;SC Bern;Verteidiger;36;0;11;7;4;0;0;7;0;4;0;0
288;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;47;0;7;4;3;0;0;7;0;0;0;0
289;Alatalo Santeri;HC Davos;Verteidiger;36;0;7;3;4;0;0;6;0;1;0;0
290;Gerber Beat;SC Bern;Verteidiger;49;0;6;5;1;0;0;5;0;0;0;1
291;Brûlé Gilbert;ZSC Lions;Stürmer;14;0;6;4;2;0;0;2;0;4;0;0
292;Kparghai Clarence;EHC Biel;Verteidiger;37;0;6;3;3;0;0;6;0;0;0;0
293;Geiger Marc;SC Rapperswil-Jona Lakers;Verteidiger;49;0;6;3;3;0;0;6;0;0;0;0
294;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;46;0;5;3;2;0;0;5;0;0;0;0
295;Kobach Reto;HC Ambri-Piotta;Verteidiger;36;0;5;1;4;0;0;4;0;1;0;0
296;Hänni Andreas;SC Bern;Verteidiger;21;0;4;2;2;0;0;3;0;1;0;0
297;Raffainer Raeto;HC Ambri-Piotta;Stürmer;38;0;3;3;0;0;0;3;0;0;0;0
298;Di Pietro Paul;HC Lugano;Stürmer;15;0;3;3;0;0;0;3;0;0;0;0
299;Stoffel Andri;ZSC Lions;Verteidiger;34;0;3;1;2;0;0;3;0;0;0;0
300;Stettler Martin;SCL Tigers;Verteidiger;31;0;3;1;2;0;0;3;0;0;0;0
301;Campoli Chris;EHC Biel;Verteidiger;4;0;3;1;2;0;0;3;0;0;0;0
302;Von Arx Jan;HC Davos;Verteidiger;20;0;2;1;1;0;0;2;0;0;0;0
303;Schulthess Marc;HC Ambri-Piotta;Verteidiger;42;0;2;1;1;0;0;2;0;0;0;0
304;Grassi Daniele;HC Ambri-Piotta;Stürmer;22;0;2;1;1;0;0;2;0;0;0;0
