R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
62;Bütler Markus;SC Rapperswil-Jona Lakers;Stürmer;48;51;13;1;0;1;0
63;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;50;20;0;1;0;0
64;Pittis Domenico;ZSC Lions;Stürmer;42;50;25;0;0;0;0
65;Marghitola Daniele;HC Ambri-Piotta;Verteidiger;47;50;20;0;1;0;0
66;Gerber Lukas;HC Davos;Verteidiger;44;50;20;0;1;0;0
67;Fischer Patrick;SC Rapperswil-Jona Lakers;Verteidiger;31;48;14;0;2;0;0
68;Chiesa Alessandro;HC Lugano;Verteidiger;50;48;19;0;1;0;0
69;Truttmann Marco;EHC Biel;Stürmer;44;47;11;1;0;1;0
70;Romy Kevin;HC Lugano;Stürmer;45;47;11;1;0;0;1
71;Murovic Mirko;HC Ambri-Piotta;Stürmer;35;47;11;1;0;1;0
72;Guggisberg Peter;HC Davos;Stürmer;48;47;6;1;1;1;0
73;Welti Marc;Kloten Flyers;Verteidiger;47;46;18;0;1;0;0
74;Reber Jörg;EHC Biel;Verteidiger;48;46;23;0;0;0;0
75;Paterlini Thierry;HC Lugano;Stürmer;45;46;23;0;0;0;0
76;Mercier Jonathan;Genève-Servette HC;Verteidiger;42;46;18;0;1;0;0
77;Christen Björn;EV Zug;Stürmer;43;46;18;0;1;0;0
78;Camenzind Andreas;SCL Tigers;Verteidiger;46;46;13;0;2;0;0
79;Birbaum Alain;Fribourg-Gottéron;Verteidiger;50;46;23;0;0;0;0
80;Alston Jan;ZSC Lions;Stürmer;50;46;18;0;1;0;0
81;Gelinas Martin;SC Bern;Stürmer;27;45;10;1;0;1;0
82;Duca Paolo;HC Ambri-Piotta;Stürmer;50;45;20;1;0;0;0
83;Ziegler Thomas;SC Bern;Stürmer;49;44;22;0;0;0;0
84;Marha Josef;HC Davos;Stürmer;49;44;22;0;0;0;0
85;Kobach Reto;SCL Tigers;Verteidiger;39;44;22;0;0;0;0
86;Fata Rico;EHC Biel;Stürmer;45;44;12;0;2;0;0
87;Stettler Martin;SCL Tigers;Verteidiger;48;42;21;0;0;0;0
88;Steinegger Martin;EHC Biel;Verteidiger;26;42;21;0;0;0;0
89;Nüssli Thomas;EHC Biel;Stürmer;48;42;21;0;0;0;0
90;Naumenko Nicholas;HC Ambri-Piotta;Verteidiger;40;42;21;0;0;0;0
91;Di Pietro Paul;EV Zug;Stürmer;50;42;16;0;1;0;0
92;Back Rene;EV Zug;Verteidiger;50;42;21;0;0;0;0
93;Trudel Jean-Guy;ZSC Lions;Stürmer;42;41;8;1;0;1;0
