R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
87;Mauldin Greg;Fribourg-Gottéron;Stürmer;18;4;2;0;0;0;0
88;Loichat Michaël;SC Bern;Stürmer;20;4;2;0;0;0;0
89;Loeffel Romain;Fribourg-Gottéron;Verteidiger;18;4;2;0;0;0;0
90;Lehtonen Mikko;ZSC Lions;Stürmer;11;4;2;0;0;0;0
91;Hächler Cedric;ZSC Lions;Verteidiger;9;4;2;0;0;0;0
92;Gamache Simon;Fribourg-Gottéron;Stürmer;18;4;2;0;0;0;0
93;Erni Samuel;EV Zug;Verteidiger;14;4;2;0;0;0;0
94;Diem Nolan;EV Zug;Stürmer;14;4;2;0;0;0;0
95;Casutt Corsin;EV Zug;Stürmer;14;4;2;0;0;0;0
96;Campoli Chris;EHC Biel;Verteidiger;6;4;2;0;0;0;0
97;Campbell Jeff;SC Bern;Stürmer;10;4;2;0;0;0;0
98;Cadieux Jan;Fribourg-Gottéron;Stürmer;16;4;2;0;0;0;0
99;Bykov Andrey;Fribourg-Gottéron;Stürmer;17;4;2;0;0;0;0
100;Botter Cédric;Fribourg-Gottéron;Stürmer;18;4;2;0;0;0;0
101;Berger Pascal;SC Bern;Stürmer;20;4;2;0;0;0;0
102;Bednar Jaroslav;SC Bern;Stürmer;8;4;2;0;0;0;0
103;Back Rene;HC Davos;Verteidiger;7;4;2;0;0;0;0
104;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;17;4;2;0;0;0;0
105;Wellinger Thomas;EHC Biel;Verteidiger;3;2;1;0;0;0;0
106;Vauclair Tristan;Fribourg-Gottéron;Stürmer;17;2;1;0;0;0;0
107;Taticek Petr;HC Davos;Stürmer;5;2;1;0;0;0;0
108;Sykora Petr;SC Bern;-;4;2;1;0;0;0;0
109;Sieber Lukas;HC Davos;Stürmer;5;2;1;0;0;0;0
110;Shannon Ryan;ZSC Lions;Stürmer;12;2;1;0;0;0;0
111;Schneuwly Cédric;EV Zug;Stürmer;11;2;1;0;0;0;0
112;Schneeberger Noah;HC Davos;Verteidiger;4;2;1;0;0;0;0
113;Schefer Philipp;EV Zug;Verteidiger;11;2;1;0;0;0;0
114;Ryser Sven;HC Davos;Stürmer;6;2;1;0;0;0;0
115;Rüthemann Ivo;SC Bern;Stürmer;20;2;1;0;0;0;0
116;Ruefenacht Thomas;HC Lugano;Stürmer;3;2;1;0;0;0;0
