Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Albrecht Yannick-Lennart,Forward,SCL Tigers,ls/15,49,,,,,,,,,,9.0,3.0,0.0,7.0,12.0,6.0,0.0,0.0,0.0,,,,,,,,,,,1
Albrecht Yannick-Lennart,Forward,SCL Tigers,ry/15,49,,,,,12.0,25.0,0.51,10.0,-3.0,,,,,,,,,,,,,,,,,,,,1
Albrecht Yannick-Lennart,Forward,SCL Tigers,ts/15,49,13.0,50.0,26,1.02,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Almond Cody,Forward,Genève-Servette HC,es/12,39,,,,,,,,,,,,,,,,,,,23.0,0.0,1.0,0.0,0.0,,,,,,1
Almond Cody,Forward,Genève-Servette HC,es/13,44,,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,1.0,0.0,,,,,,1
Almond Cody,Forward,Genève-Servette HC,es/14,20,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,0.0,0.0,,,,,,1
Almond Cody,Forward,Genève-Servette HC,es/15,4,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ls/12,39,,,,,,,,,,11.0,11.0,1.0,5.0,12.0,2.0,6.0,1.0,4.0,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ls/13,44,,,,,,,,,,11.0,5.0,3.0,14.0,13.0,4.0,3.0,0.0,0.0,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ls/14,20,,,,,,,,,,5.0,1.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ls/15,4,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ry/12,39,,,,,22.0,30.0,0.77,56.0,5.0,,,,,,,,,,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ry/13,44,,,,,16.0,34.0,0.77,75.0,12.0,,,,,,,,,,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ry/14,20,,,,,6.0,11.0,0.55,24.0,-1.0,,,,,,,,,,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ry/15,4,,,,,1.0,1.0,0.25,2.0,-1.0,,,,,,,,,,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ts/12,39,8.0,71.0,11.27,1.82,,,,,,,,,,,,,,,,,,,,,,,,,1
Almond Cody,Forward,Genève-Servette HC,ts/13,44,18.0,97.0,18.56,2.2,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0,0.0,1
Almond Cody,Forward,Genève-Servette HC,ts/14,20,5.0,56.0,8.93,2.8,,,,,,,,,,,,,,,,,,,,4.0,1.0,3.0,25,1.0,1
Almond Cody,Forward,Genève-Servette HC,ts/15,4,0.0,5.0,0,1.25,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Alston Jan,Forward,ZSC Lions,es/08,50,,,,,,,,,,,,,,,,,,,18.0,0.0,1.0,0.0,0.0,,,,,,1
Alston Jan,Forward,ZSC Lions,es/09,49,,,,,,,,,,,,,,,,,,,24.0,0.0,0.0,0.0,0.0,,,,,,1
Alston Jan,Forward,ZSC Lions,ls/08,50,,,,,,,,,,12.0,8.0,4.0,8.0,14.0,5.0,5.0,1.0,1.0,,,,,,,,,,,1
Alston Jan,Forward,ZSC Lions,ls/09,49,,,,,,,,,,14.0,10.0,4.0,14.0,16.0,7.0,7.0,0.0,1.0,,,,,,,,,,,1
Alston Jan,Forward,ZSC Lions,ry/08,50,,,,,20.0,34.0,0.68,46.0,2.0,,,,,,,,,,,,,,,,,,,,1
Alston Jan,Forward,ZSC Lions,ry/09,49,,,,,24.0,45.0,0.92,48.0,6.0,,,,,,,,,,,,,,,,,,,,1
Alston Jan,Forward,ZSC Lions,ts/08,50,14.0,117.0,11.97,2.34,,,,,,,,,,,,,,,,,,,,,,,,,1
Alston Jan,Forward,ZSC Lions,ts/09,49,21.0,119.0,17.65,2.43,,,,,,,,,,,,,,,,,,,,,,,,,1
Altorfer Niki,Forward,ZSC Lions,es/09,2,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Altorfer Niki,Forward,ZSC Lions,es/10,6,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Altorfer Niki,Forward,ZSC Lions,ls/09,2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Altorfer Niki,Forward,ZSC Lions,ls/10,6,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Altorfer Niki,Forward,ZSC Lions,ry/09,2,,,,,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,1
Altorfer Niki,Forward,ZSC Lions,ry/10,6,,,,,1.0,1.0,0.17,0.0,-1.0,,,,,,,,,,,,,,,,,,,,1
Altorfer Niki,Forward,ZSC Lions,ts/09,2,0.0,3.0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,1
Altorfer Niki,Forward,ZSC Lions,ts/10,6,0.0,6.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,es/08,50,,,,,,,,,,,,,,,,,,,34.0,0.0,3.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,HC Davos,es/13,49,,,,,,,,,,,,,,,,,,,17.0,0.0,1.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,HC Davos,es/14,49,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,HC Davos,es/15,50,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,0.0,0.0,,,,,,1
Ambühl Andres,Forward,HC Davos,ls/08,50,,,,,,,,,,16.0,8.0,1.0,12.0,17.0,3.0,7.0,2.0,0.0,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ls/13,49,,,,,,,,,,14.0,7.0,1.0,5.0,10.0,3.0,9.0,0.0,2.0,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ls/14,49,,,,,,,,,,10.0,6.0,2.0,8.0,13.0,2.0,3.0,3.0,0.0,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ls/15,50,,,,,,,,,,14.0,13.0,3.0,8.0,18.0,3.0,8.0,3.0,1.0,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ry/08,50,,,,,24.0,41.0,0.82,98.0,21.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ry/13,49,,,,,21.0,29.0,0.59,44.0,9.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ry/14,49,,,,,16.0,29.0,0.59,28.0,14.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ry/15,50,,,,,27.0,41.0,0.82,30.0,11.0,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ts/08,50,17.0,127.0,13.39,2.54,,,,,,,,,,,,,,,,,,,,,,,,,1
Ambühl Andres,Forward,HC Davos,ts/13,49,8.0,136.0,5.88,2.78,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,33.33,1.0,1
Ambühl Andres,Forward,HC Davos,ts/14,49,13.0,125.0,10.4,2.55,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0,0.0,1
