R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
64;Bürgler Dario;HC Davos;Stürmer;6;5;15;33.33;2.50
65;Bang Daniel;Lausanne HC;Stürmer;7;4;15;26.67;2.14
66;Baltisberger Chris;ZSC Lions;Stürmer;17;2;15;13.33;0.88
67;Vauclair Julien;HC Lugano;Verteidiger;5;0;14;0;2.80
68;Monnet Thibaut;Fribourg-Gottéron;Stürmer;9;1;14;7.14;1.56
69;Lindgren Perttu;HC Davos;Stürmer;6;0;14;0;2.33
70;Corvi Enzo;HC Davos;Stürmer;6;0;14;0;2.33
71;Walser Samuel;HC Davos;Stürmer;6;0;13;0;2.17
72;Ruefenacht Thomas;HC Lugano;Stürmer;5;1;13;7.69;2.60
73;Koistinen Ville;HC Davos;Verteidiger;6;0;13;0;2.17
74;Genoway Colby;Lausanne HC;Stürmer;7;0;13;0;1.86
75;Ambühl Andres;HC Davos;Stürmer;4;1;13;7.69;3.25
76;McLean Brett;HC Lugano;Stürmer;5;0;12;0;2.40
77;Jacquemet Arnaud;Genève-Servette HC;Stürmer;12;0;12;0;1.00
78;Hytönen Juha-Pekka;Lausanne HC;Stürmer;7;3;12;25;1.71
79;Genazzi Joël;Lausanne HC;Verteidiger;7;0;12;0;1.71
80;Setzinger Oliver;Lausanne HC;Stürmer;7;1;11;9.09;1.57
81;Rivera Christopher;Genève-Servette HC;Stürmer;12;3;11;27.27;0.92
82;Randegger Gian-Andrea;Kloten Flyers;Verteidiger;16;0;11;0;0.69
83;Ngoy Michael;Fribourg-Gottéron;Verteidiger;10;0;11;0;1.10
84;Sciaroni Gregory;HC Davos;Stürmer;6;0;10;0;1.67
85;Pestoni Inti;HC Ambri-Piotta;Stürmer;4;1;10;10;2.50
86;Park Richard;HC Ambri-Piotta;Stürmer;4;1;10;10;2.50
