R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
79;Meunier Laurent;Fribourg-Gottéron;Stürmer;38;8;79;10.13;2.08
80;Bastl Mark;ZSC Lions;Stürmer;49;12;79;15.19;1.61
81;Zeiter Michel;SCL Tigers;Stürmer;41;6;78;7.69;1.90
82;Stancescu Victor;Kloten Flyers;Stürmer;46;7;78;8.97;1.70
83;Lindström Sanny;SC Rapperswil-Jona Lakers;Stürmer;41;5;78;6.41;1.90
84;Abid Ramzi;SC Bern;Stürmer;33;9;78;11.54;2.36
85;Romy Kevin;HC Lugano;Stürmer;45;9;77;11.69;1.71
86;Bordeleau Sébastien;SC Bern;Stürmer;32;6;77;7.79;2.41
87;Law Kirby;Fribourg-Gottéron;Stürmer;28;4;76;5.26;2.71
88;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;47;4;76;5.26;1.62
89;Niinimaa Janne;SCL Tigers;Verteidiger;20;8;75;10.67;3.75
90;Krutov Alexei;ZSC Lions;Stürmer;46;10;75;13.33;1.63
91;Furrer Philippe;SC Bern;Verteidiger;36;4;75;5.33;2.08
92;Christen Björn;EV Zug;Stürmer;43;8;75;10.67;1.74
93;Bärtschi Patrik;SC Bern;Stürmer;33;12;75;16;2.27
94;Neuenschwander Caryl;Fribourg-Gottéron;Stürmer;50;11;74;14.86;1.48
95;Fischer Patrick;SC Rapperswil-Jona Lakers;Verteidiger;31;4;73;5.48;2.35
96;Diaz Raphael;EV Zug;Verteidiger;50;4;73;5.48;1.46
97;Daigle Alexandre;HC Davos;Stürmer;44;9;73;12.33;1.66
98;Stirnimann Reto;HC Ambri-Piotta;Verteidiger;50;7;72;9.72;1.44
99;Ritchie Byron;Genève-Servette HC;Stürmer;45;22;72;30.56;1.60
100;Ehrensperger Gianni;EHC Biel;Stürmer;47;11;72;15.28;1.53
101;Sannitz Raffaele;HC Lugano;Stürmer;43;5;71;7.04;1.65
102;Rizzi Sandro;HC Davos;Verteidiger;50;11;71;15.49;1.42
103;Josi Roman;SC Bern;Verteidiger;42;7;71;9.86;1.69
104;Isbister Brad;EV Zug;Stürmer;24;10;71;14.08;2.96
105;Reuille Sebastien;SC Rapperswil-Jona Lakers;Stürmer;46;12;70;17.14;1.52
106;Nodari Matteo;HC Lugano;Verteidiger;49;5;70;7.14;1.43
107;Bürgler Dario;HC Davos;Stürmer;42;11;69;15.94;1.64
108;Stettler Martin;SCL Tigers;Verteidiger;48;4;68;5.88;1.42
109;McTavish Dale;EV Zug;Stürmer;18;8;68;11.76;3.78
110;Clarke Noah;HC Ambri-Piotta;Stürmer;28;8;68;11.76;2.43
111;Snell Wesley;Fribourg-Gottéron;Verteidiger;50;3;66;4.55;1.32
112;Guyaz Noel;SC Rapperswil-Jona Lakers;Verteidiger;48;1;65;1.54;1.35
113;Sutter Fabian;SCL Tigers;Stürmer;50;10;64;15.62;1.28
114;Marha Josef;HC Davos;Stürmer;49;11;64;17.19;1.31
115;Wirz Valentin;Fribourg-Gottéron;Stürmer;45;4;63;6.35;1.40
116;Vigier Jean-Pierre;Genève-Servette HC;Stürmer;35;20;61;32.79;1.74
117;Lindemann Sven;Kloten Flyers;Stürmer;50;13;60;21.67;1.20
118;Demuth Alain;HC Ambri-Piotta;Stürmer;48;5;60;8.33;1.25
119;Rytz Philippe;SC Bern;Verteidiger;40;6;59;10.17;1.48
120;Gelinas Martin;SC Bern;Stürmer;27;15;59;25.42;2.19
121;Bieber Matthias;SCL Tigers;Stürmer;48;5;59;8.47;1.23
122;Back Rene;EV Zug;Verteidiger;50;6;59;10.17;1.18
123;Jobin David;SC Bern;Verteidiger;39;2;57;3.51;1.46
124;Aubin Serge;Genève-Servette HC;Stürmer;36;15;57;26.32;1.58
125;Voegele Stefan;SC Rapperswil-Jona Lakers;Stürmer;46;5;56;8.93;1.22
126;Siren Niki;SC Rapperswil-Jona Lakers;Verteidiger;44;8;56;14.29;1.27
127;Oppliger Patrick;EV Zug;Stürmer;43;4;56;7.14;1.30
128;Moser Simon;SCL Tigers;Stürmer;47;7;56;12.5;1.19
129;Trachsler Morris;Genève-Servette HC;Stürmer;50;4;55;7.27;1.10
130;Deruns Thomas;Genève-Servette HC;Stürmer;43;7;55;12.73;1.28
131;Tschantré Mathieu;EHC Biel;Stürmer;42;10;54;18.52;1.29
132;Bühler Cyrill;ZSC Lions;Stürmer;49;4;54;7.41;1.10
133;Truttmann Marco;EHC Biel;Stürmer;44;9;53;16.98;1.20
134;Sonnenberg Martin;HC Ambri-Piotta;Stürmer;25;5;53;9.43;2.12
135;Plüss Benny;Fribourg-Gottéron;Stürmer;29;9;53;16.98;1.83
136;Ling David;EHC Biel;Stürmer;33;9;53;16.98;1.61
137;Botter Cédric;Fribourg-Gottéron;Stürmer;44;4;53;7.55;1.20
138;Bärtschi Deny;EHC Biel;Verteidiger;44;4;53;7.55;1.20
139;Taticek Petr;HC Davos;Stürmer;50;6;52;11.54;1.04
140;Meier Daniel;SC Bern;Stürmer;49;4;52;7.69;1.06
141;Pohl John;HC Lugano;Stürmer;22;3;50;6;2.27
142;Moggi Claudio;SCL Tigers;Stürmer;42;9;50;18;1.19
143;Gmür Sandro;SCL Tigers;Verteidiger;50;2;50;4;1.00
144;Wieser Dino;HC Davos;Stürmer;45;3;49;6.12;1.09
145;Harrison Jay;EV Zug;Verteidiger;41;6;49;12.24;1.20
146;Blum Eric-Ray;SCL Tigers;Verteidiger;36;3;49;6.12;1.36
147;Ngoy Michael;Fribourg-Gottéron;Verteidiger;33;0;48;0;1.45
148;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;46;6;48;12.5;1.04
149;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;50;3;48;6.25;0.96
150;Micheli Claudio;HC Ambri-Piotta;Stürmer;50;6;47;12.77;0.94
151;Von Arx Jan;HC Davos;Verteidiger;50;3;46;6.52;0.92
152;Vauclair Geoffrey;Fribourg-Gottéron;Stürmer;33;4;46;8.70;1.39
153;Celio Nicola;HC Ambri-Piotta;Verteidiger;48;2;46;4.35;0.96
154;Robitaille Randy;HC Lugano;Stürmer;30;1;45;2.22;1.50
155;Christen Gregory;HC Ambri-Piotta;Stürmer;39;2;45;4.44;1.15
156;Rothen Frederic;Kloten Flyers;Stürmer;34;4;43;9.30;1.26
157;Kamber Oliver;ZSC Lions;Stürmer;37;2;43;4.65;1.16
158;Gianola Marc;HC Davos;Verteidiger;47;0;43;0;0.91
159;Fröhlicher Joel;EHC Biel;Verteidiger;48;2;43;4.65;0.90
160;Berger Pascal;SC Bern;Stürmer;45;4;43;9.30;0.96
161;Salmelainen Tony;Genève-Servette HC;Stürmer;29;16;42;38.10;1.45
162;Kostovic Dario;HC Lugano;Stürmer;50;4;42;9.52;0.84
163;Steinmann Janick;EV Zug;Stürmer;49;6;41;14.63;0.84
164;Grossmann Robin;HC Davos;Verteidiger;50;3;41;7.32;0.82
165;Chiesa Alessandro;HC Lugano;Verteidiger;50;3;41;7.32;0.82
166;Sciaroni Gregory;HC Ambri-Piotta;Stürmer;44;6;40;15;0.91
167;Froidevaux Etienne;SC Bern;Stürmer;46;5;40;12.5;0.87
168;Camenzind Andreas;SCL Tigers;Verteidiger;46;7;40;17.5;0.87
169;Vauclair Tristan;HC Lugano;Stürmer;49;2;39;5.13;0.80
170;Rubin Daniel;Genève-Servette HC;Stürmer;43;6;39;15.38;0.91
171;Moggi Sandro;SCL Tigers;Stürmer;42;6;39;15.38;0.93
172;Leblanc Robin;HC Davos;Stürmer;27;8;39;20.51;1.44
173;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;47;2;38;5.26;0.81
174;Montandon Gil;Fribourg-Gottéron;Stürmer;44;4;38;10.53;0.86
175;Lemm Romano;HC Lugano;Stürmer;19;4;38;10.53;2.00
176;Helbling Timo;HC Lugano;Verteidiger;49;2;38;5.26;0.78
177;Geering Patrick;ZSC Lions;Verteidiger;47;0;38;0;0.81
178;Bütler Markus;SC Rapperswil-Jona Lakers;Stürmer;48;3;38;7.89;0.79
179;Bianchi Mattia;HC Ambri-Piotta;Stürmer;37;6;38;15.79;1.03
180;Reist Alain;Fribourg-Gottéron;Verteidiger;48;3;37;8.11;0.77
181;Blatter Florian;HC Davos;Verteidiger;48;1;37;2.70;0.77
182;Mowers Mark;Fribourg-Gottéron;Stürmer;23;3;36;8.33;1.57
183;Leuenberger Marc;SC Bern;Verteidiger;49;0;36;0;0.73
184;Gerber Beat;SC Bern;Verteidiger;36;1;36;2.78;1.00
185;Furrer Andreas;HC Davos;Verteidiger;49;2;36;5.56;0.73
186;Seydoux Philippe;Fribourg-Gottéron;Verteidiger;30;4;35;11.43;1.17
187;Kobach Reto;SCL Tigers;Verteidiger;39;0;35;0;0.90
188;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;50;3;35;8.57;0.70
189;Gautschi Marc;HC Ambri-Piotta;Verteidiger;38;3;35;8.57;0.92
190;Conne Flavien;HC Lugano;Stürmer;33;2;35;5.71;1.06
191;Wieser Marc;HC Davos;Stürmer;34;6;34;17.65;1.00
192;Walser Thomas;Kloten Flyers;Stürmer;51;4;34;11.76;0.67
193;Jörg Mauro;HC Lugano;Stürmer;47;3;34;8.82;0.72
194;Cantoni Krister;HC Lugano;Verteidiger;48;0;34;0;0.71
195;Ziegler Thomas;SC Bern;Stürmer;49;3;33;9.09;0.67
196;Steinegger Martin;EHC Biel;Verteidiger;26;1;33;3.03;1.27
197;Meier Dominic;EV Zug;Verteidiger;41;1;33;3.03;0.80
198;Grauwiler Lukas;ZSC Lions;Stürmer;50;3;33;9.09;0.66
199;Collenberg Franco;Fribourg-Gottéron;Verteidiger;50;4;33;12.12;0.66
