Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Fr;13.12.2013;19:45;Lausanne HC;HC Davos; 2:3; 0:1|0:0|2:1|0:1;SO;;False;P. de Malley, Lausanne;6765
Sa;14.12.2013;19:45;SC Bern;Fribourg-Gottéron; 2:1; 1:0|0:1|1:0;;;False;PostFinance-Arena, Bern;17131
Sa;14.12.2013;19:45;EHC Biel;Lausanne HC; 4:2; 1:0|2:1|1:1;;;False;Eisstadion, Biel-Bienne;4768
Sa;14.12.2013;19:45;HC Davos;HC Lugano; 2:3; 1:1|0:0|1:2;;;False;Vaillant Arena, Davos;5841
Sa;14.12.2013;19:45;Kloten Flyers;Genève-Servette HC; 3:1; 0:1|1:0|2:0;;;False;Kolping Arena, Kloten;4674
Sa;14.12.2013;19:45;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 0:1; 0:0|0:1|0:0;;;False;Diners Club Arena, Rapperswil;4344
Sa;14.12.2013;19:45;EV Zug;ZSC Lions; 1:4; 0:2|0:2|1:0;;;False;BOSSARD Arena, Zug;6346
So;15.12.2013;15:45;HC Ambri-Piotta;SC Bern; 3:1; 1:0|1:0|1:1;;;False;Stadio Valascia, Ambri;6102
So;15.12.2013;15:45;ZSC Lions;EHC Biel; 6:3; 2:2|0:0|4:1;;;False;Hallenstadion AG, Zürich;9621
Mo;23.12.2013;19:45;HC Ambri-Piotta;EHC Biel; 7:2; 0:1|4:0|3:1;;;False;Stadio Valascia, Ambri;6500
Mo;23.12.2013;19:45;SC Bern;ZSC Lions; 4:3; 2:1|2:1|0:1;;;False;PostFinance-Arena, Bern;17131
Mo;23.12.2013;19:45;Genève-Servette HC;SC Rapperswil-Jona Lakers; 2:3; 2:0|0:1|0:2;;;False;Les Vernets, Genève;7086
Mo;23.12.2013;19:45;Kloten Flyers;HC Davos; 5:6; 0:1|3:2|2:2|0:1;OT;;False;Kolping Arena, Kloten;7624
Mo;23.12.2013;19:45;Lausanne HC;Fribourg-Gottéron; 3:2; 0:1|1:1|1:0|1:0;SO;;False;P. de Malley, Lausanne;7800
Mo;23.12.2013;19:45;HC Lugano;EV Zug; 2:1; 1:0|0:1|1:0;;;False;Pista Resega, Porza;5535
Do;02.01.2014;15:45;ZSC Lions;Kloten Flyers; 2:3; 1:0|1:1|0:1|0:1;SO;;False;Hallenstadion AG, Zürich;11200
Do;02.01.2014;19:45;EHC Biel;Fribourg-Gottéron; 2:3; 1:2|1:1|0:0;;;False;Eisstadion, Biel-Bienne;5651
Do;02.01.2014;19:45;Lausanne HC;HC Lugano; 2:3; 1:1|0:0|1:1|0:1;SO;;False;P. de Malley, Lausanne;6914
Fr;03.01.2014;19:45;Genève-Servette HC;SC Bern; 3:1; 1:0|1:1|1:0;;;False;Les Vernets, Genève;7135
