R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
173;Stettler Martin;SC Bern;Verteidiger;7;0;0;-;0.00
174;Schneuwly Cédric;EV Zug;Stürmer;2;0;0;-;0.00
175;Pivron Victor;Genève-Servette HC;Stürmer;1;0;0;-;0.00
176;Pivron Pierrick;Genève-Servette HC;Stürmer;6;0;0;-;0.00
177;Mowers Mark;Fribourg-Gottéron;Stürmer;1;0;0;-;0.00
178;Moser Christian;SCL Tigers;Verteidiger;2;0;0;-;0.00
179;Mettler Thomas;Kloten Flyers;Verteidiger;14;0;0;-;0.00
180;Leuenberger Marc;Fribourg-Gottéron;Verteidiger;1;0;0;-;0.00
181;Herren Yannick;Kloten Flyers;Stürmer;2;0;0;-;0.00
182;Gustafsson Anton;SCL Tigers;Stürmer;1;0;0;-;0.00
183;Gerber Lukas;Fribourg-Gottéron;Verteidiger;3;0;0;-;0.00
184;Erni Samuel;EV Zug;Verteidiger;7;0;0;-;0.00
185;Camperchioli Luca;ZSC Lions;Verteidiger;5;0;0;-;0.00
186;Brunold Alain;Kloten Flyers;Stürmer;1;0;0;-;0.00
187;Altorfer Niki;ZSC Lions;Stürmer;3;0;0;-;0.00
