R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
23;Hagman Niklas;Fribourg-Gottéron;Stürmer;10;3;3;6;0.60;16;-4
24;Romy Kevin;Genève-Servette HC;Stürmer;12;3;3;6;0.50;8;1
25;Blum Eric-Ray;Kloten Flyers;Verteidiger;15;3;3;6;0.40;12;1
26;Lemm Romano;Kloten Flyers;Stürmer;16;3;3;6;0.38;6;3
27;Bodenmann Simon;Kloten Flyers;Stürmer;13;2;4;6;0.46;8;2
28;Bastl Mark;ZSC Lions;Stürmer;18;2;4;6;0.33;0;5
29;Steinmann Janick;Kloten Flyers;Stürmer;16;3;2;5;0.31;8;-1
30;Liniger Michael;Kloten Flyers;Stürmer;14;3;2;5;0.36;8;-3
31;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;10;2;3;5;0.50;8;-5
32;Fritsche Dan;ZSC Lions;Stürmer;18;2;3;5;0.28;10;6
33;Plüss Benny;Fribourg-Gottéron;Stürmer;10;1;4;5;0.50;4;-3
34;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;1;4;5;0.42;8;0
35;Dupont Micki;Kloten Flyers;Verteidiger;16;1;4;5;0.31;12;-1
36;Marti Christian;Genève-Servette HC;Verteidiger;12;1;4;5;0.42;8;1
37;Trachsler Morris;ZSC Lions;Stürmer;15;1;4;5;0.33;6;0
38;McCarthy Steve;ZSC Lions;Verteidiger;18;0;5;5;0.28;6;0
39;Almond Cody;Genève-Servette HC;Stürmer;12;0;5;5;0.42;6;3
40;Kenins Ronalds;ZSC Lions;Stürmer;18;4;0;4;0.22;6;1
41;Antonietti Benjamin;Lausanne HC;Stürmer;7;3;1;4;0.57;4;2
42;Paulsson Marcus;HC Davos;Stürmer;6;3;1;4;0.67;4;-1
43;Nilsson Robert;ZSC Lions;Stürmer;18;2;2;4;0.22;4;-2
44;Bühler Cyrill;Kloten Flyers;Stürmer;16;1;3;4;0.25;6;4
45;Hennessy Josh;Kloten Flyers;Stürmer;6;1;3;4;0.67;0;2
