R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
23;Bürgler Dario;HC Davos;Stürmer;21;3;3;2;1;1;3;3;0;0;0;0
24;Brunner Damien;EV Zug;Stürmer;10;3;2;2;0;0;2;2;1;0;0;0
25;Dubé Christian;SC Bern;Stürmer;6;3;2;1;1;0;0;1;3;1;0;0
26;Casutt Corsin;EV Zug;Stürmer;10;3;1;1;0;1;1;0;2;1;0;0
27;Marha Josef;HC Davos;Stürmer;20;2;8;5;3;0;0;4;1;4;1;0
28;Rüthemann Ivo;SC Bern;Stürmer;6;2;6;3;3;0;0;4;1;2;1;0
29;Du Bois Felicien;Kloten Flyers;Verteidiger;15;2;3;3;0;0;0;1;1;2;1;0
30;Lindemann Sven;Kloten Flyers;Stürmer;15;2;3;2;1;1;1;0;1;2;0;1
31;Dupont Micki;EV Zug;Verteidiger;10;2;3;1;2;0;1;1;1;2;0;0
32;Wieser Dino;HC Davos;Stürmer;20;2;2;2;0;1;2;2;0;0;0;0
33;Mowers Mark;Fribourg-Gottéron;Stürmer;5;2;2;2;0;1;1;1;1;1;0;0
34;Law Kirby;Fribourg-Gottéron;Stürmer;7;2;2;2;0;0;1;2;1;0;0;0
35;Gelinas Martin;SC Bern;Stürmer;6;2;2;2;0;0;1;1;1;1;0;0
36;Jacquemet Arnaud;Kloten Flyers;Stürmer;15;2;2;0;2;0;2;2;0;0;0;0
37;Wirz Valentin;Fribourg-Gottéron;Stürmer;11;2;1;1;0;0;2;1;0;0;0;0
38;Robitaille Randy;HC Lugano;Stürmer;7;2;1;1;0;0;2;1;0;0;0;0
39;Deruns Thomas;Genève-Servette HC;Stürmer;4;2;1;1;0;0;2;1;0;0;0;0
40;Vauclair Geoffrey;Fribourg-Gottéron;Stürmer;9;2;1;0;1;1;2;1;0;0;0;0
41;Leblanc Robin;HC Davos;Stürmer;14;2;0;0;0;0;2;0;0;0;0;0
42;Fransson Johan;HC Lugano;Verteidiger;4;2;0;0;0;0;0;0;2;0;0;0
43;Conne Flavien;HC Lugano;Stürmer;7;2;0;0;0;1;2;0;0;0;0;0
44;Rizzi Sandro;HC Davos;Verteidiger;21;1;9;6;3;0;1;5;0;4;0;0
45;Thoresen Patrick;HC Lugano;Stürmer;7;1;7;6;1;1;0;3;1;4;0;0
46;Hamr Radek;Kloten Flyers;Verteidiger;15;1;6;3;3;0;0;2;1;3;0;1
47;Bykov Andrey;Fribourg-Gottéron;Stürmer;9;1;6;3;3;0;1;3;0;3;0;0
48;Forster Beat;HC Davos;Verteidiger;21;1;5;4;1;0;0;2;1;3;0;0
49;Jeannin Sandy;Fribourg-Gottéron;Stürmer;11;1;4;3;1;0;1;3;0;1;0;0
50;Grossmann Robin;HC Davos;Verteidiger;21;1;3;3;0;1;1;2;0;1;0;0
51;Holden Josh;EV Zug;Stürmer;10;1;3;2;1;0;0;1;1;2;0;0
52;Kellenberger Steve;Kloten Flyers;Stürmer;15;1;3;1;2;0;1;3;0;0;0;0
53;Jobin David;SC Bern;Verteidiger;6;1;3;1;2;1;0;2;1;1;0;0
54;Murray Brady;HC Lugano;Stürmer;7;1;2;2;0;0;0;1;1;1;0;0
55;Harrison Jay;EV Zug;Verteidiger;7;1;2;2;0;0;0;2;1;0;0;0
56;Winkler Benjamin;Kloten Flyers;Verteidiger;14;1;2;1;1;0;1;1;0;1;0;0
57;Salmelainen Tony;Genève-Servette HC;Stürmer;4;1;2;1;1;0;1;1;0;1;0;0
58;Meunier Laurent;Fribourg-Gottéron;Stürmer;8;1;2;1;1;0;0;1;0;1;1;0
59;Daigle Alexandre;HC Davos;Stürmer;10;1;2;1;1;0;1;1;0;1;0;0
60;Bezina Goran;Genève-Servette HC;Verteidiger;4;1;2;0;2;0;0;0;1;2;0;0
61;Suchy Radoslav;ZSC Lions;Verteidiger;4;1;1;1;0;0;1;0;0;1;0;0
62;Montandon Gil;Fribourg-Gottéron;Stürmer;11;1;1;1;0;0;1;1;0;0;0;0
63;Monnet Thibaut;ZSC Lions;Stürmer;4;1;1;1;0;0;1;1;0;0;0;0
64;Isbister Brad;EV Zug;Stürmer;3;1;1;1;0;1;0;0;1;1;0;0
65;Fedulov Igor;Genève-Servette HC;Stürmer;4;1;1;1;0;0;0;0;1;1;0;0
66;Diaz Raphael;EV Zug;Verteidiger;10;1;1;1;0;0;0;0;1;1;0;0
67;Wieser Marc;HC Davos;Stürmer;16;1;1;0;1;0;1;1;0;0;0;0
68;Von Arx Jan;HC Davos;Verteidiger;20;1;1;0;1;0;0;1;1;0;0;0
69;Vauclair Julien;HC Lugano;Verteidiger;7;1;1;0;1;0;1;1;0;0;0;0
70;Maurer Marco;EV Zug;Verteidiger;10;1;1;0;1;0;1;1;0;0;0;0
71;Lauper Adrien;Fribourg-Gottéron;Stürmer;11;1;1;0;1;0;1;1;0;0;0;0
72;Cadieux Jan;Genève-Servette HC;Stürmer;4;1;1;0;1;0;1;1;0;0;0;0
73;Ziegler Thomas;SC Bern;Stürmer;6;1;0;0;0;0;1;0;0;0;0;0
74;Walser Thomas;Kloten Flyers;Stürmer;15;1;0;0;0;0;1;0;0;0;0;0
75;Vigier Jean-Pierre;Genève-Servette HC;Stürmer;2;1;0;0;0;0;0;0;1;0;0;0
76;Vauclair Tristan;HC Lugano;Stürmer;5;1;0;0;0;0;1;0;0;0;0;0
77;Suri Reto;Genève-Servette HC;Stürmer;4;1;0;0;0;0;1;0;0;0;0;0
78;Seydoux Philippe;Fribourg-Gottéron;Verteidiger;11;1;0;0;0;1;0;0;1;0;0;0
79;Savary Paul;Genève-Servette HC;Stürmer;4;1;0;0;0;0;1;0;0;0;0;0
80;Rytz Philippe;SC Bern;Verteidiger;6;1;0;0;0;0;1;0;0;0;0;0
81;Rothen Frederic;Kloten Flyers;Stürmer;7;1;0;0;0;1;1;0;0;0;0;0
82;Pittis Domenico;ZSC Lions;Stürmer;4;1;0;0;0;0;0;0;0;0;1;0
83;Meier Daniel;SC Bern;Stürmer;6;1;0;0;0;0;1;0;0;0;0;0
