Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Winkler Benjamin,Defender,Kloten Flyers,09-10,10,2,1,3,0.3,10,1,1,1,0,0,1,0,1,1,0,0,9,22.22,0.9,5,0,0,0,0
Winkler Benjamin,Defender,Kloten Flyers,10-11,17,0,5,5,0.29,12,1,1,2,3,0,0,5,0,0,0,0,5,0,0.29,6,0,0,0,0
Winkler Benjamin,Defender,Kloten Flyers,11-12,5,0,0,0,0.0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0.4,1,0,0,0,0
Wirz Valentin,Forward,Fribourg-Gottéron,08-09,11,2,1,3,0.27,2,2,1,1,0,0,2,1,0,0,0,0,10,20,0.91,1,0,0,0,0
Wirz Valentin,Forward,Fribourg-Gottéron,09-10,7,0,0,0,0.0,6,-1,1,0,0,0,0,0,0,0,0,0,5,0,0.71,3,0,0,0,0
Wollgast Nigel,Defender,HC Lugano,15-16,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Wozniewski Andy,Defender,EV Zug,10-11,10,1,4,5,0.5,6,-6,1,4,0,0,1,3,0,1,0,0,27,3.70,2.7,3,0,0,0,0
Wozniewski Andy,Defender,EV Zug,11-12,6,1,4,5,0.83,16,3,1,1,3,1,1,1,0,3,0,0,24,4.17,4.0,3,0,1,0,0
Wozniewski Andy,Defender,EV Zug,12-13,10,1,4,5,0.5,4,3,1,1,3,0,0,3,1,1,0,0,25,4,2.5,2,0,0,0,0
Zanatta Luca,Defender,Genève-Servette HC,15-16,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Zangger Sandro,Forward,EV Zug,14-15,5,0,0,0,0.0,0,-5,1,0,0,0,0,0,0,0,0,0,3,0,0.6,0,0,0,0,0
Zangger Sandro,Forward,EV Zug,15-16,4,0,1,1,0.25,0,-2,1,0,1,0,0,1,0,0,0,0,6,0,1.5,0,0,0,0,0
Zeiter Michel,Forward,Kloten Flyers,09-10,4,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,6,0,1.5,0,0,0,0,0
Ziegler Thomas,Forward,SC Bern,08-09,6,1,0,1,0.17,27,-2,1,0,0,0,1,0,0,0,0,0,12,8.33,2.0,1,1,0,1,0
Ziegler Thomas,Forward,SC Bern,09-10,11,0,4,4,0.36,4,4,1,3,1,0,0,4,0,0,0,0,8,0,0.73,2,0,0,0,0
Ziegler Thomas,Forward,ZSC Lions,10-11,5,0,1,1,0.2,2,-2,1,0,1,0,0,1,0,0,0,0,5,0,1.0,1,0,0,0,0
Ziegler Thomas,Forward,ZSC Lions,11-12,6,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Zigerli Manuel,Forward,EHC Biel,11-12,5,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,4,0,0.8,0,0,0,0,0
Zubler Patrick,Defender,EV Zug,11-12,5,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Zubler Patrick,Defender,EV Zug,12-13,7,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
