R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
86;Jenni Marcel;Kloten Flyers;Stürmer;46;11;9;20;0.43;34;1
87;Sutter Fabian;EV Zug;Stürmer;49;8;12;20;0.41;24;-3
88;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;48;8;12;20;0.42;18;-19
89;Kinrade Geoff;SC Bern;Verteidiger;50;8;12;20;0.40;69;18
90;Rosa Pavel;HC Lugano;Stürmer;22;2;18;20;0.91;6;8
91;Pedretti Marco;HC Ambri-Piotta;Stürmer;49;13;6;19;0.39;14;-9
92;Nash Rick;HC Davos;Stürmer;17;12;6;18;1.06;8;5
93;Reichert Marc;HC Ambri-Piotta;Stürmer;50;10;8;18;0.36;20;-25
94;Laich Brooks;Kloten Flyers;Stürmer;19;6;12;18;0.95;28;10
95;Bucher Tobias;SCL Tigers;Stürmer;49;4;14;18;0.37;14;-6
96;Casutt Corsin;EV Zug;Stürmer;48;10;7;17;0.35;10;-7
97;Bednar Jaroslav;SC Bern;Stürmer;20;6;11;17;0.85;8;8
98;Camichel Duri;SC Rapperswil-Jona Lakers;Stürmer;45;6;11;17;0.38;94;-9
99;Josi Roman;SC Bern;Verteidiger;26;6;11;17;0.65;14;7
100;Kellenberger Steve;EHC Biel;Stürmer;50;5;12;17;0.34;28;3
101;Forster Beat;HC Davos;Verteidiger;35;4;13;17;0.49;51;2
102;Kenins Ronalds;ZSC Lions;Stürmer;45;3;14;17;0.38;12;6
103;Wellinger Thomas;EHC Biel;Verteidiger;45;2;15;17;0.38;12;-6
104;Jobin David;SC Bern;Verteidiger;46;2;15;17;0.37;12;4
105;Beaudoin Eric;EHC Biel;Stürmer;30;10;6;16;0.53;26;8
106;Genazzi Joël;SCL Tigers;Verteidiger;41;9;7;16;0.39;10;-4
107;Bastl Mark;ZSC Lions;Stürmer;45;8;8;16;0.36;4;2
108;Vauclair Julien;HC Lugano;Verteidiger;47;7;9;16;0.34;24;11
109;Scherwey Tristan;SC Bern;Stürmer;50;6;10;16;0.32;32;10
110;Blum Eric-Ray;Kloten Flyers;Verteidiger;45;5;11;16;0.36;22;17
111;Desharnais David;Fribourg-Gottéron;Stürmer;16;4;12;16;1.00;12;5
112;Marha Josef;HC Davos;Stürmer;45;4;12;16;0.36;12;0
113;Knoepfli Michael;Fribourg-Gottéron;Stürmer;49;10;5;15;0.31;12;0
114;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;50;8;7;15;0.30;20;-28
115;Berger Pascal;SC Bern;Stürmer;50;7;8;15;0.30;22;-4
116;Lammer Dominic;EV Zug;Stürmer;40;7;8;15;0.38;18;6
117;Von Gunten Patrick;Kloten Flyers;Verteidiger;35;5;10;15;0.43;24;10
118;Walker Julian;Genève-Servette HC;Stürmer;45;4;11;15;0.33;46;8
119;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;28;4;11;15;0.54;22;-9
120;Huguenin Anthony;EHC Biel;Verteidiger;41;3;12;15;0.37;10;-3
121;Ramholt Tim;HC Davos;Verteidiger;50;2;13;15;0.30;40;16
122;Froidevaux Etienne;SCL Tigers;Stürmer;42;8;6;14;0.33;24;-18
123;Schelling Philippe;Kloten Flyers;Verteidiger;50;8;6;14;0.28;56;7
124;Hasani Adam;Fribourg-Gottéron;Stürmer;39;7;7;14;0.36;12;14
125;Kostner Diego;HC Lugano;Stürmer;50;6;8;14;0.28;8;-4
126;Trachsler Morris;ZSC Lions;Stürmer;46;6;8;14;0.30;14;-1
127;Haas Lukas;SCL Tigers;Stürmer;38;3;11;14;0.37;38;-23
128;Schneeberger Noah;HC Davos;Verteidiger;48;2;12;14;0.29;32;7
129;Brown Dustin;ZSC Lions;Stürmer;16;8;5;13;0.81;26;3
130;Rivera Christopher;Genève-Servette HC;Stürmer;50;7;6;13;0.26;100;3
131;Brügger Sandro;Fribourg-Gottéron;Stürmer;33;6;7;13;0.39;10;9
132;Sannitz Raffaele;Kloten Flyers;Stürmer;39;5;8;13;0.33;34;2
133;Vauclair Tristan;Fribourg-Gottéron;Stürmer;50;4;9;13;0.26;32;-4
134;Duca Paolo;HC Ambri-Piotta;Stürmer;49;4;9;13;0.27;14;-12
135;Loeffel Romain;Fribourg-Gottéron;Verteidiger;34;3;10;13;0.38;22;5
136;Randegger Gian-Andrea;Genève-Servette HC;Verteidiger;50;2;11;13;0.26;42;-9
